logFC	Gene.symbol	Gene.title
-15290245,00	ANGPT1	angiopoietin 1
-10145674,00	GAS6	growth arrest specific 6
-14341754,00	HSPB8	heat shock protein family B (small) member 8
-14921765,00	P2RY14	purinergic receptor P2Y14
-27510728,00	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
-0,96	PDE2A	phosphodiesterase 2A
-12577114,00	PLPP3	phospholipid phosphatase 3
-0,52	FAM65A	family with sequence similarity 65 member A
-14266341,00	RECK	reversion inducing cysteine rich protein with kazal motifs
-17173817,00	SMAD6	SMAD family member 6
-28479987,00	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
-0,72	ACVRL1	activin A receptor like type 1
-12059715,00	CRTAC1	cartilage acidic protein 1
-0,82	CDH19	cadherin 19
-1131196,00	SNX1	sorting nexin 1
-10831494,00	MEIS1	Meis homeobox 1
-0,95	ACKR4	atypical chemokine receptor 4
-0,98	MACF1	microtubule-actin crosslinking factor 1
-11476206,00	GDF10	growth differentiation factor 10
-25505701,00	MT1M	metallothionein 1M
-11719399,00	ADGRE5	adhesion G protein-coupled receptor E5
-1048398,00	REEP1	receptor accessory protein 1
-12555,00	LMOD1	leiomodin 1
-12747245,00	FERMT2	fermitin family member 2
-0,75	CASKIN2	CASK interacting protein 2
-0,94	CBFA2T3	CBFA2/RUNX1 translocation partner 3
-0,69	PIAS1	protein inhibitor of activated STAT 1
-2651513,00	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
-27530678,00	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
-0,70	CLEC1A	C-type lectin domain family 1 member A
-12310455,00	GMFG	glia maturation factor gamma
-25769894,00	HBB	hemoglobin subunit beta
-2032593,00	CLIC3	chloride intracellular channel 3
-11521539,00	MACF1	microtubule-actin crosslinking factor 1
-0,59	ACACB	acetyl-CoA carboxylase beta
-0,88	LOC101930578///MRPS31P5///THSD1	uncharacterized LOC101930578///mitochondrial ribosomal protein S31 pseudogene 5///thrombospondin type 1 domain containing 1
-28129233,00	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
-14068244,00	MYH10	myosin
-0,85	GNAQ	G protein subunit alpha q
